Family,Category,SuggestedName,Conflict
System Panel,Curtain Panels,MHT-ME-FAM-System Panel,
Rectangular Mullion,Curtain Wall Mullions,MHT-ME-FAM-Rectangular Mullion,
Circular Mullion,Curtain Wall Mullions,MHT-ME-FAM-Circular Mullion,
L Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-L Corner Mullion,
V Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-V Corner Mullion,
Trapezoid Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-Trapezoid Corner Mullion,
Quad Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-Quad Corner Mullion,
Section Tail - Filled Horizontal,Section Marks,MHT-ME-FAM-Section Tail - Filled Horizontal,
Stair Nosing - Pan,Profiles,MHT-ME-FAM-Stair Nosing - Pan,
Slab Edge-Thickened,Profiles,MHT-ME-FAM-Slab Edge-Thickened,
Rectangular Handrail,Profiles,MHT-ME-FAM-Rectangular Handrail,
Gutter Profile-Bevel,Profiles,MHT-ME-FAM-Gutter Profile-Bevel,
Fascia-Flat,Profiles,MHT-ME-FAM-Fascia-Flat,
Brick Standard,Detail Items,MHT-ME-FAM-Brick Standard,
View Title,View Titles,MHT-ME-FAM-View Title,
Section Tail - Filled,Section Marks,MHT-ME-FAM-Section Tail - Filled,
Section Head - no arrow,Section Marks,MHT-ME-FAM-Section Head - no arrow,
Section Head - Filled,Section Marks,MHT-ME-FAM-Section Head - Filled,
Level Head - Circle,Level Heads,MHT-ME-FAM-Level Head - Circle,
Callout Head,Callout Heads,MHT-ME-FAM-Callout Head,
Spot Elevation - Target Filled,Spot Elevation Symbols,MHT-ME-FAM-Spot Elevation - Target Filled,
Long Wire Tick Mark,Wire Tick Marks,MHT-ME-FAM-Long Wire Tick Mark,
Baluster - Square,Balusters,MHT-ME-FAM-Baluster - Square,
Flex Duct Tag Round,Flex Duct Tags,MHT-ME-FAM-Flex Duct Tag Round,
Duct Size Tag,Duct Tags,MHT-ME-FAM-Duct Size Tag,
View Reference,View Reference,MHT-ME-FAM-View Reference,
Elevation Mark Body_Square,Elevation Marks,MHT-ME-FAM-Elevation Mark Body-Square,
Elevation Mark Pointer_Square,Elevation Marks,MHT-ME-FAM-Elevation Mark Pointer-Square,
Space Tag,Space Tags,MHT-ME-FAM-Space Tag,
Mechanical Equipment Tag,Mechanical Equipment Tags,MHT-ME-FAM-Equipment Tag,
Channel Horizontal Cross,Cable Tray Fittings,MHT-ME-FAM-Channel Horizontal Cross,
Channel Horizontal Tee,Cable Tray Fittings,MHT-ME-FAM-Channel Horizontal Tee,
Channel Reducer,Cable Tray Fittings,MHT-ME-FAM-Channel Reducer,
Channel Union,Cable Tray Fittings,MHT-ME-FAM-Channel Union,
Channel Vertical Inside Bend,Cable Tray Fittings,MHT-ME-FAM-Channel Vertical Inside Bend,
Channel Vertical Outside Bend,Cable Tray Fittings,MHT-ME-FAM-Channel Vertical Outside Bend,
Channel Horizontal Bend,Cable Tray Fittings,MHT-ME-FAM-Channel Horizontal Bend,
Conduit Junction Box - Transition - PVC,Conduit Fittings,MHT-ME-FAM-Conduit Junction Box - Transition - PVC,
Conduit Coupling - PVC,Conduit Fittings,MHT-ME-FAM-Conduit Coupling - PVC,
Conduit Elbow - without Fittings - RNC,Conduit Fittings,MHT-ME-FAM-Conduit Elbow - without Fittings - RNC,
Conduit Junction Box - Cross - PVC,Conduit Fittings,MHT-ME-FAM-Conduit Junction Box - Cross - PVC,
Conduit Junction Box - Tee - PVC,Conduit Fittings,MHT-ME-FAM-Conduit Junction Box - Tee - PVC,
Conduit Elbow - Plain End - PVC,Conduit Fittings,MHT-ME-FAM-Conduit Elbow - Plain End - PVC,
Round Union,Duct Fittings,MHT-ME-DF---DN8-DN8,
Oval Cross - Straight,Duct Fittings,MHT-ME-DF-01,DUP
Oval Elbow - Mitered,Duct Fittings,MHT-ME-DF---DN8-01,DUP
Oval Tap - Straight,Duct Fittings,MHT-ME-DF-02,DUP
Oval Tee - Straight,Duct Fittings,MHT-ME-DF---DN8-02,DUP
Oval to Round Transition - Length,Duct Fittings,MHT-ME-DF---DN8-03,DUP
Oval Transition - Length,Duct Fittings,MHT-ME-DF---DN8-04,DUP
Oval Union,Duct Fittings,MHT-ME-DF---DN8-05,DUP
Rectangular Cross,Duct Fittings,MHT-ME-DF-03,DUP
Rectangular Elbow - Mitered,Duct Fittings,MHT-ME-DF-Rect-Elbow--DN102,
Rectangular Endcap,Duct Fittings,MHT-ME-DF-Rect-Endcap--DN356,
Rectangular Tee,Duct Fittings,MHT-ME-DF-Rect-Tee--DN203,
Rectangular to Oval Transition - Length,Duct Fittings,MHT-ME-DF---DN8-06,DUP
Rectangular to Round Transition - Angle,Duct Fittings,MHT-ME-DF-Round-Transition--DN152,
Rectangular Transition - Angle,Duct Fittings,MHT-ME-DF---DN239,
Rectangular Union,Duct Fittings,MHT-ME-DF---DN8-07,DUP
Round Cross,Duct Fittings,MHT-ME-DF-04,DUP
Round Elbow,Duct Fittings,MHT-ME-DF-Round-Elbow--DN102,
Round Endcap,Duct Fittings,MHT-ME-DF-Round-Endcap--DN203,
Round Tee,Duct Fittings,MHT-ME-DF-Round-Tee--DN203,
Round Transition - Angle,Duct Fittings,MHT-ME-DF-Round-Transition--DN203,
Bend - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-Bend - PVC - Sch 40 - DWV,
Coupling - Generic,Pipe Fittings,MHT-ME-FAM-Coupling - Generic,
Coupling - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-Coupling - PVC - Sch 40 - DWV,
Plug - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-Plug - PVC - Sch 40 - DWV,
Reducer - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-Reducer - PVC - Sch 40 - DWV,
Tee - Generic,Pipe Fittings,MHT-ME-FAM-Tee - Generic,
Tee Sanitary - PVC - Sch 40 - DWV,Pipe Fittings,MHT-ME-FAM-Tee Sanitary - PVC - Sch 40 - DWV,
Transition - Generic,Pipe Fittings,MHT-ME-FAM-Transition - Generic,
Round Takeoff,Duct Fittings,MHT-ME-DF---DN8-08,DUP
Oval Endcap,Duct Fittings,MHT-ME-DF---DN8-09,DUP
Rectangular Takeoff,Duct Fittings,MHT-ME-DF---DN8-10,DUP
Grid Head - Circle1,Grid Heads,MHT-ME-FAM-Grid Head - Circle1,
Supply Diffuser with Plenum - Linear Slot - Hosted,Air Terminals,MHT-ME-AT-SUPPLY-DN152-DN152,
Supply Diffuser - Square - Hosted,Air Terminals,MHT-ME-AT-SUPPLY-DN152,
E1 30 x 42 Horizontal_Snowdon,Title Blocks,MHT-ME-FAM-E1 30 x 42 Horizontal-Snowdon,
E1 30 x 42 Cover_Snowdon,Title Blocks,MHT-ME-FAM-E1 30 x 42 Cover-Snowdon,
View Title1,View Titles,MHT-ME-FAM-View Title1,
Sheet Issue Label,Generic Annotations,MHT-ME-FAM-Sheet Issue Label,
Break Line,Detail Items,MHT-ME-FAM-Break Line,
Air Terminal-Exhaust Cap-FB,Air Terminals,MHT-ME-AT-EXHAUST-DN102,
Return Grille - Perforated - Rectangular Face Rectangular Neck,Air Terminals,MHT-ME-AT-RETURN-DN406-DN406,
Section Tail - Filled Horizontal1,Section Marks,MHT-ME-FAM-Section Tail - Filled Horizontal1,
Callout Head1,Callout Heads,MHT-ME-FAM-Callout Head1,
Section Head - no arrow1,Section Marks,MHT-ME-FAM-Section Head - no arrow1,
View Title2,View Titles,MHT-ME-FAM-View Title2,
