Family,Category,SuggestedName,Conflict,ProblemReasons
"MHT-ME-FAM-Curtain Panels","Curtain Panels","MHT-ME-FAM-Mht-Me-Fam-Curtain-Panels-Autodesk-Revit-Db-Paneltype-Object-At-0X00000000000061Ad-Autodesk-Revit-Db-Paneltype","",""
"MHT-ME-FAM-Curtain Wall Mullions","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Curtain-Wall-Mullions-Autodesk-Revit-Db-Mulliontype-Object-At-0X00000000000061Ae-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Circular-Mullion-Autodesk-Revit-Db-Mulliontype-Object-At-0X00000000000061Af-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-L-Corner-Mullion-Autodesk-Revit-Db-Mulliontype-Object-At-0X00000000000061B0-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-V-Corner-Mullion-Autodesk-Revit-Db-Mulliontype-Object-At-0X00000000000061B1-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Trapezoid-Corner-Mullion-Autodesk-Revit-Db-Mulliontype-Object-At-0X00000000000061B2-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Mht-Me-Fam-Quad-Corner-Mullion-Autodesk-Revit-Db-Mulliontype-Object-At-0X00000000000061B3-Autodesk-Revit-Db-Mulliontype","",""
"MHT-ME-FAM-Section Marks","Section Marks","MHT-ME-FAM-Mht-Me-Fam-Section-Marks-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061B4-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Level Heads","Level Heads","MHT-ME-FAM-Mht-Me-Fam-Level-Heads-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061B5-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-SectionHead","Section Marks","MHT-ME-FAM-Mht-Me-Fam-Sectionhead-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061B6-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Callout Heads","Callout Heads","MHT-ME-FAM-Mht-Me-Fam-Callout-Heads-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061B7-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Detail Items","Detail Items","MHT-ME-FAM-Mht-Me-Fam-Detail-Items-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061B8-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-View Reference","View Reference","MHT-ME-FAM-Mht-Me-Fam-View-Reference-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Bb-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Generic Annotations","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Generic-Annotations-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Bc-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Arrow-01","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Arrow-01-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061Bd-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Callout Head","Callout Heads","MHT-ME-FAM-Mht-Me-Fam-Callout-Head-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Be-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-View Titles","View Titles","MHT-ME-FAM-Mht-Me-Fam-View-Titles-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Bf-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Logo-Meinhardt-50mm","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Logo-Meinhardt-50Mm-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061C0-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Logo-Meinhardt-120mm","Generic Annotations","MHT-ME-FAM-Mht-Me-Fam-Logo-Meinhardt-120Mm-Autodesk-Revit-Db-Annotationsymboltype-Object-At-0X00000000000061C1-Autodesk-Revit-Db-Annotationsymboltype","",""
"MHT-ME-FAM-Level Head-Target RL","Level Heads","MHT-ME-FAM-Mht-Me-Fam-Level-Head-Target-Rl-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061C2-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Level Head-Triangle RL Multi","Level Heads","MHT-ME-FAM-Mht-Me-Fam-Level-Head-Triangle-Rl-Multi-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061C3-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-FAM-Grid Heads","Grid Heads","MHT-ME-FAM-Mht-Me-Fam-Grid-Heads-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061C5-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Duct Fittings","Duct Fittings","MHT-ME-DF-Tee-Tee-DN500","",""
"MHT-ME-DF-Rectangular Short Radius Bend - Flanged","Duct Fittings","MHT-ME-DF-Rect-Tee-ShortRad-DN2000","",""
"MHT-ME-DF-Rectangular Square Bend - Flanged","Duct Fittings","MHT-ME-DF-Rect-Tee-Sr-DN2400","",""
"MHT-ME-DF-Rectangular Shoe Branch - Flanged","Duct Fittings","MHT-ME-DF-Rect-Tee-Flanged-DN250-DN250","",""
"MHT-ME-DF-Rectangular Square Branch - Flanged","Duct Fittings","MHT-ME-DF-Rect-Tee-Flanged-DN250","",""
"MHT-ME-DF-Rectangular transition","Duct Fittings","MHT-ME-DF-Rect-Tee-DN600","",""
"MHT-ME-DF-Spigot","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Spigot","","missing_shape;missing_fitting"
"MHT-ME-FAM-Level Head - Circle","Level Heads","MHT-ME-FAM-Mht-Me-Fam-Level-Head-Circle-Autodesk-Revit-Db-Familysymbol-Object-At-0X00000000000061Cd-Autodesk-Revit-Db-Familysymbol","",""
"MHT-ME-DF-Round Union-01","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Round-Union-01","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Pressed Equal Tee - Slip Joint","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Round-Pressed-Equal-Tee-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Round Taper - Slip Joint","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Round-Taper-Slip-Joint","","missing_shape;missing_fitting"
"MHT-ME-DF-Rectangular - Oval Transformation - Slip Joint","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Rectangular-Oval-Transformation-Slip-Joint","","missing_shape;missing_fitting;missing_size"
"MHT-ME-DF-Rectangular - Round Transformation - Flanged","Duct Fittings","MHT-ME-DF-Mht-Me-Df-Rectangular-Round-Transformation-Flanged","","missing_shape;missing_fitting;missing_size"
