Family,Category,SuggestedName,Conflict
MHT-ME-FAM-Curtain Panels,Curtain Panels,MHT-ME-FAM-Curtain Panels,
MHT-ME-FAM-Curtain Wall Mullions,Curtain Wall Mullions,MHT-ME-FAM-Curtain Wall Mullions,
MHT-ME-FAM-Circular Mullion,Curtain Wall Mullions,MHT-ME-FAM-Circular Mullion,
MHT-ME-FAM-L Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-L Corner Mullion,
MHT-ME-FAM-V Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-V Corner Mullion,
MHT-ME-FAM-Trapezoid Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-Trapezoid Corner Mullion,
MHT-ME-FAM-Quad Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-Quad Corner Mullion,
MHT-ME-FAM-Section Marks,Section Marks,MHT-ME-FAM-Section Marks,
MHT-ME-FAM-Level Heads,Level Heads,MHT-ME-FAM-Level Heads,
MHT-ME-FAM-SectionHead,Section Marks,MHT-ME-FAM-SectionHead,
MHT-ME-FAM-Callout Heads,Callout Heads,MHT-ME-FAM-Callout Heads,
MHT-ME-FAM-Detail Items,Detail Items,MHT-ME-FAM-Detail Items,
MHT-ME-FAM-View Reference,View Reference,MHT-ME-FAM-View Reference,
MHT-ME-FAM-Generic Annotations,Generic Annotations,MHT-ME-FAM-Generic Annotations,
MHT-ME-FAM-Arrow-01,Generic Annotations,MHT-ME-FAM-Arrow-01,
MHT-ME-FAM-Callout Head,Callout Heads,MHT-ME-FAM-Callout Head,
MHT-ME-FAM-View Titles,View Titles,MHT-ME-FAM-View Titles,
MHT-ME-FAM-Logo-Meinhardt-50mm,Generic Annotations,MHT-ME-FAM-Logo-Meinhardt-50mm,
MHT-ME-FAM-Logo-Meinhardt-120mm,Generic Annotations,MHT-ME-FAM-Logo-Meinhardt-120mm,
MHT-ME-FAM-Level Head-Target RL,Level Heads,MHT-ME-FAM-Level Head-Target RL,
MHT-ME-FAM-Level Head-Triangle RL Multi,Level Heads,MHT-ME-FAM-Level Head-Triangle RL Multi,
MHT-ME-FAM-Grid Heads,Grid Heads,MHT-ME-FAM-Grid Heads,
MHT-ME-DF-Duct Fittings,Duct Fittings,MHT-ME-DF-Tee-Tee--DN500,
MHT-ME-DF-Rectangular Short Radius Bend - Flanged,Duct Fittings,MHT-ME-DF-Rect-Tee-ShortRad-DN2000,
MHT-ME-DF-Rectangular Square Bend - Flanged,Duct Fittings,MHT-ME-DF-Rect-Tee-Sr-DN2400,
