Family,Category,SuggestedName,Conflict,ProblemReasons
Rectangular Mullion,Curtain Wall Mullions,MHT-ME-FAM-Rectangular-Mullion,,
Circular Mullion,Curtain Wall Mullions,MHT-ME-FAM-Circular-Mullion,,
System Panel,Curtain Panels,MHT-ME-FAM-System-Panel,,
Empty System Panel,Curtain Panels,MHT-ME-FAM-Empty-System-Panel,,
L Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-L-Corner-Mullion,,
V Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-V-Corner-Mullion,,
Trapezoid Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-Trapezoid-Corner-Mullion,,
Quad Corner Mullion,Curtain Wall Mullions,MHT-ME-FAM-Quad-Corner-Mullion,,
Brick - UK Standard,Detail Items,MHT-ME-FAM-Brick-UK-Standard,,
Level Head - No Bubble,Level Heads,MHT-ME-FAM-Level-Head-No-Bubble,,
Area Tag,Area Tags,MHT-ME-FAM-Area-Tag,,
Callout Head,Callout Heads,MHT-ME-FAM-Callout-Head,,
Centreline,Generic Annotations,MHT-ME-FAM-Centreline,,
Grid Head - Circle,Grid Heads,MHT-ME-FAM-Grid-Head-Circle,,
Grid Head - No Bubble,Grid Heads,MHT-ME-FAM-Grid-Head-No-Bubble,,
Level Head - Circle,Level Heads,MHT-ME-FAM-Level-Head-Circle,,
MHT_North Arrow,Generic Annotations,MHT-ME-FAM-North-Arrow,,
Spot Elevation - Exterior Filled,Spot Elevation Symbols,MHT-ME-FAM-Spot-Elevation-Exterior-Filled,,
Spot Elevation - Target Filled,Spot Elevation Symbols,MHT-ME-FAM-Spot-Elevation-Target-Filled,,
Wall Tag,Wall Tags,MHT-ME-FAM-Wall-Tag,,
Window Tag,Window Tags,MHT-ME-FAM-Window-Tag,,
Fascia-Flat,Profiles,MHT-ME-FAM-Fascia-Flat,,
Gutter - Bevel,Profiles,MHT-ME-FAM-Gutter-Bevel,,
Slab Edge-Thickened,Profiles,MHT-ME-FAM-Slab-Edge-Thickened,,
UC-Universal Column-Column,Structural Columns,MHT-ME-FAM-UC-Universal-Column-Column,,
Flex Duct Tag Round,Flex Duct Tags,MHT-ME-DF-Flex-Duct-Tag-Round,,missing_shape;missing_fitting;missing_size
Spot Elevation - Crosshair,Spot Elevation Symbols,MHT-ME-FAM-Spot-Elevation-Crosshair,,
Zone Tag,Zone Tags,MHT-ME-FAM-Zone-Tag,,
Baluster - Square,Balusters,MHT-ME-FAM-Baluster-Square,,
Flex Pipe Size Tag,Flex Pipe Tags,MHT-ME-FAM-Flex-Pipe-Size-Tag,,
Elevation Mark Body_Square,Elevation Marks,MHT-ME-FAM-Elevation-Mark-Body-Square,,
Elevation Mark Pointer_Square,Elevation Marks,MHT-ME-FAM-Elevation-Mark-Pointer-Square,,
Elevation Mark Body_Circle-10mm,Elevation Marks,MHT-ME-FAM-Elevation-Mark-Body-Circle-10Mm,,
Elevation Mark Pointer_Circle-10mm,Elevation Marks,MHT-ME-FAM-Elevation-Mark-Pointer-Circle-10Mm,,
Elevation Mark Body_Circle-12mm,Elevation Marks,MHT-ME-FAM-Elevation-Mark-Body-Circle-12Mm,,
Elevation Mark Pointer_Circle-12mm,Elevation Marks,MHT-ME-FAM-Elevation-Mark-Pointer-Circle-12Mm,,
View Reference,View Reference,MHT-ME-FAM-View-Reference,,
MHT_F_Sprinklers Tag,Sprinkler Tags,MHT-ME-FAM-F-Sprinklers-Tag,,
Conduit Size Tag,Conduit Tags,MHT-ME-FAM-Conduit-Size-Tag,,
Round Union,Duct Fittings,MHT-ME-DF-Round-Union,,missing_shape;missing_fitting
Oval - Round Transformation - Slip Joint,Duct Fittings,MHT-ME-DF-Oval-Round-Transformation-Slip-Joint,,missing_shape;missing_fitting;missing_size
Oval Blank End,Duct Fittings,MHT-ME-DF-Oval-Blank-End,,missing_shape;missing_fitting;missing_size
Oval Concentric Taper - Slip Joint,Duct Fittings,MHT-ME-DF-Oval-Concentric-Taper-Slip-Joint,,missing_shape;missing_fitting
Oval Segmented Bend - Slip Joint,Duct Fittings,MHT-ME-DF-Oval-Segmented-Bend-Slip-Joint,,missing_shape;missing_fitting
Oval Shoe Branch - Slip Joint,Duct Fittings,MHT-ME-DF-Oval-Shoe-Branch-Slip-Joint,,missing_shape;missing_fitting
Oval Shoe Cross - Slip Joint,Duct Fittings,MHT-ME-DF-Oval-Shoe-Cross-Slip-Joint,,missing_shape;missing_fitting
Oval Square Tee - Slip Joint,Duct Fittings,MHT-ME-DF-Oval-Square-Tee-Slip-Joint,,missing_shape;missing_fitting
Oval Union,Duct Fittings,MHT-ME-DF-Oval-Union,,missing_shape;missing_fitting
Rectangular - Oval Transformation - Slip Joint,Duct Fittings,MHT-ME-DF-Rectangular-Oval-Transformation-Slip-Joint,,missing_shape;missing_fitting;missing_size
Rectangular - Round Transformation - Flanged,Duct Fittings,MHT-ME-DF-Rectangular-Round-Transformation-Flanged,,missing_shape;missing_fitting;missing_size
Rectangular Medium Radius Bend - Flanged,Duct Fittings,MHT-ME-DF-Rect-Press-Flanged-DN1600-DN1600,,
Rectangular Square Tee - Flanged,Duct Fittings,MHT-ME-DF-Rectangular-Square-Tee-Flanged,,missing_shape;missing_fitting
Rectangular Union,Duct Fittings,MHT-ME-DF-Rectangular-Union,,missing_shape;missing_fitting
Round Blank End,Duct Fittings,MHT-ME-DF-Round-Blank-End,,missing_shape;missing_fitting;missing_size
Round Pressed Bend - Slip Joint,Duct Fittings,MHT-ME-DF-Round-Pressed-Bend-Slip-Joint,,missing_shape;missing_fitting
Round Pressed Equal Tee - Slip Joint,Duct Fittings,MHT-ME-DF-Round-Pressed-Equal-Tee-Slip-Joint,,missing_shape;missing_fitting
Round Segmented Bend - Slip Joint,Duct Fittings,MHT-ME-DF-Round-Segmented-Bend-Slip-Joint,,missing_shape;missing_fitting
Round Shoe Branch - Slip Joint,Duct Fittings,MHT-ME-DF-Round-Shoe-Branch-Slip-Joint,,missing_shape;missing_fitting
Round Taper - Slip Joint,Duct Fittings,MHT-ME-DF-Round-Taper-Slip-Joint,,missing_shape;missing_fitting
Inline Pump - Circulator,Mechanical Equipment,MHT-ME-MEQ-Pump-UND,,
Bush Reducing - Plain - PVC-C,Pipe Fittings,MHT-ME-FAM-Bush-Reducing-Plain-PVC-C,,
Cap - Plain - PVC-C,Pipe Fittings,MHT-ME-FAM-Cap-Plain-PVC-C,,
Coupling - Soldered - CU,Pipe Fittings,MHT-ME-FAM-Coupling-Soldered-CU,,
Cross - Plain - PVC-C,Pipe Fittings,MHT-ME-FAM-Cross-Plain-PVC-C,,
Cross - Soldered - CU,Pipe Fittings,MHT-ME-FAM-Cross-Soldered-CU,,
Reducer Straight - Soldered - CU,Pipe Fittings,MHT-ME-FAM-Reducer-Straight-Soldered-CU,,
Socket - Plain - PVC-C,Pipe Fittings,MHT-ME-FAM-Socket-Plain-PVC-C,,
Stop End - Soldered - CU,Pipe Fittings,MHT-ME-FAM-Stop-End-Soldered-CU,,
Tee - Plain - PVC-C,Pipe Fittings,MHT-ME-FAM-Tee-Plain-PVC-C,,
MHT_AT_Supply Grille - Single Deflection - Rectangular Face Rectangular Neck,Air Terminals,MHT-ME-AT-SUPPLY-DN225,,
M_Rectangular Elbow - Radius,Duct Fittings,MHT-ME-DF-M-Rectangular-Elbow-Radius,,missing_shape;missing_fitting
M_Rectangular Tap - Beveled,Duct Fittings,MHT-ME-DF-Rect-Takeoff-DN900,,
MHT_M_Duct Fitting Tag,Duct Fitting Tags,MHT-ME-DF-M-Duct-Fitting-Tag,,missing_shape;missing_fitting;missing_size
MHT_DA_Access Panel,Duct Accessories,MHT-ME-DF-DA-Access-Panel,,missing_shape;missing_fitting;missing_size
MHT_M_Equipment Legend,Mechanical Equipment Tags,MHT-ME-FAM-M-Equipment-Legend,,
MHT_M_ACCESS PANEL,Duct Accessories,MHT-ME-DF-M-ACCESS-PANEL,,missing_shape;missing_fitting;missing_size
M_Rectangular Transition - Angle1,Duct Fittings,MHT-ME-DF-M-Rectangular-Transition-Angle1,,missing_shape;missing_fitting
MHT_H_2D_Gnrl Note,Generic Annotations,MHT-ME-FAM-H-2D-Gnrl-Note,,
MHT_H_Piping Profile,Profiles,MHT-ME-FAM-H-Piping-Profile,,
Rectangular - Round Transformation,Duct Fittings,MHT-ME-DF-Rectangular-Round-Transformation,,missing_shape;missing_fitting;missing_size
MHT_Plumbing Fixture Tag,Plumbing Fixture Tags,MHT-ME-FAM-Fixture-Tag,,
MHT_AT_Door Grille,Air Terminals,MHT-ME-AT-RA-DN24-DN24,,missing_shape
MHT_ME_Switchboard,Mechanical Equipment,MHT-ME-MEQ-ME-Switchboard,,
MHT_HM_PA_Butterfly Valve,Pipe Accessories,MHT-PL-PACC-HM-PA-Butterfly-Valve,,
MHT_HM_PA_Water Pressure Relief Valve,Pipe Accessories,MHT-PL-PACC-HM-PA-Water-Pressure-Relief-Valve,,
MHT_HM_PA_Pressure Regulating Valve,Pipe Accessories,MHT-PL-PACC-HM-PA-Pressure-Regulating-Valve,,
MHT_PIPE_VIC_GOOSENECK,Pipe Fittings,MHT-ME-FAM-PIPE-VIC-GOOSENECK,,
Victaulic-FP-Grooved Coupling,Pipe Fittings,MHT-ME-FAM-Victaulic-FP-Grooved-Coupling,,
MHT_E_2D_Symbol Sheet_Lights,Generic Annotations,MHT-ME-FAM-E-2D-Symbol-Sheet-Lights,,
MHT_M_DF_Rectangular Square Bend,Duct Fittings,MHT-ME-DF-M-DF-Rectangular-Square-Bend,,missing_shape;missing_fitting;missing_size
MHT_M_DF_Spigot,Duct Fittings,MHT-ME-DF-M-DF-Spigot,,missing_shape;missing_fitting
Rectangular Concentric Taper - Flanged,Duct Fittings,MHT-ME-DF-Rectangular-Concentric-Taper-Flanged,,missing_shape;missing_fitting
Rectangular Concentric Taper - Slip Joint,Duct Fittings,MHT-ME-DF-Rectangular-Concentric-Taper-Slip-Joint,,missing_shape;missing_fitting
