Family,Category,SuggestedName,Conflict,ProblemReasons
"System Panel","Curtain Panels","MHT-ME-FAM-System-Panel","",""
"Rectangular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Rectangular-Mullion","",""
"Circular Mullion","Curtain Wall Mullions","MHT-ME-FAM-Circular-Mullion","",""
"L Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Corner-Mullion-01","",""
"V Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Corner-Mullion-02","",""
"Trapezoid Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Trapezoid-Corner-Mullion","",""
"Quad Corner Mullion","Curtain Wall Mullions","MHT-ME-FAM-Quad-Corner-Mullion","",""
"Section Tail - Filled Horizontal","Section Marks","MHT-ME-FAM-Section-Tail-Filled-Horizontal","",""
"Stair Nosing - Pan","Profiles","MHT-ME-FAM-Stair-Nosing-Pan","",""
"Slab Edge-Thickened","Profiles","MHT-ME-FAM-Slab-Edge-Thickened","",""
"Rectangular Handrail","Profiles","MHT-ME-FAM-Rectangular-Handrail","",""
"Gutter Profile-Bevel","Profiles","MHT-ME-FAM-Gutter-Profile-Bevel","",""
"Fascia-Flat","Profiles","MHT-ME-FAM-Fascia-Flat","",""
"Brick Standard","Detail Items","MHT-ME-FAM-Brick-Standard","",""
"Window Tag","Window Tags","MHT-ME-FAM-Window-Tag","",""
"Wall Tag","Wall Tags","MHT-ME-FAM-Wall-Tag","",""
"View Title","View Titles","MHT-ME-FAM-View-Title","",""
"Section Tail - Filled","Section Marks","MHT-ME-FAM-Section-Tail-Filled","",""
"Section Head - Open","Section Marks","MHT-ME-FAM-Section-Head-Open","",""
"Section Head - no arrow","Section Marks","MHT-ME-FAM-Section-Head-No-Arrow","",""
"Section Head - Filled","Section Marks","MHT-ME-FAM-Section-Head-Filled","",""
"Room Tag","Room Tags","MHT-ME-FAM-Room-Tag","",""
"North Arrow 2","Generic Annotations","MHT-ME-FAM-North-Arrow-2","",""
"Level Head - No Bubble","Level Heads","MHT-ME-FAM-Level-Head-No-Bubble","",""
"Level Head - Circle","Level Heads","MHT-ME-FAM-Level-Head-Circle","",""
"Grid Head - No Bubble","Grid Heads","MHT-ME-FAM-Grid-Head-No-Bubble","",""
"Grid Head - Circle","Grid Heads","MHT-ME-FAM-Grid-Head-Circle","",""
"Door Tag","Door Tags","MHT-ME-FAM-Door-Tag","",""
"Centerline","Generic Annotations","MHT-ME-FAM-Centerline","",""
"Callout Head","Callout Heads","MHT-ME-FAM-Callout-Head","",""
"Area Tag","Area Tags","MHT-ME-FAM-Area-Tag","",""
"Spot Elevation - Target Filled","Spot Elevation Symbols","MHT-ME-FAM-Spot-Elevation-Target-Filled","",""
"Spot Elevation - Crosshair","Spot Elevation Symbols","MHT-ME-FAM-Spot-Elevation-Crosshair","",""
"Circle Wire Tick Mark","Wire Tick Marks","MHT-ME-FAM-Circle-Wire-Tick-Mark","",""
"Hook Wire Tick Mark","Wire Tick Marks","MHT-ME-FAM-Hook-Wire-Tick-Mark","",""
"Long Wire Tick Mark","Wire Tick Marks","MHT-ME-FAM-Long-Wire-Tick-Mark","",""
"Short Wire Tick Mark","Wire Tick Marks","MHT-ME-FAM-Short-Wire-Tick-Mark","",""
"Zone Tag","Zone Tags","MHT-ME-FAM-Zone-Tag","",""
"Lighting Fixture Circuit Tag","Lighting Fixture Tags","MHT-ME-FAM-Lighting-Fixture-Circuit-Tag","",""
"Telephone Device Tag","Telephone Device Tags","MHT-ME-FAM-Telephone-Device-Tag","",""
"Wire Tag","Wire Tags","MHT-ME-FAM-Wire-Tag","",""
"Data Device Tag","Data Device Tags","MHT-ME-FAM-Data-Device-Tag","",""
"Electrical Device Circuit Tag","Electrical Fixture Tags","MHT-ME-FAM-Device-Circuit-Tag","",""
"Electrical Device Panel Tag","Electrical Fixture Tags","MHT-ME-FAM-Device-Panel-Tag","",""
"Electrical Equipment Tag","Electrical Equipment Tags","MHT-ME-FAM-Equipment-Tag-01","",""
"Fire Alarm Device Tag","Fire Alarm Device Tags","MHT-ME-FAM-Fire-Alarm-Device-Tag","",""
"Light Switch Tag","Lighting Device Tags","MHT-ME-FAM-Light-Switch-Tag","",""
"Water Closet - Flush Valve - Wall Mounted","Plumbing Fixtures","MHT-PL-PF-Water-Closet-Flush-Valve-Wall-Mounted","",""
"Boiler","Mechanical Equipment","MHT-ME-MEQ-Pump-UND","",""
"Data Outlet","Data Devices","MHT-ME-FAM-Data-Outlet","",""
"Ethernet Switch","Electrical Equipment","MHT-EL-EE-Electrical-Equipment-UND-DN599","",""
"Radiator - Hydronic Fin Tube","Mechanical Equipment","MHT-ME-MEQ-Radiator-Hydronic-Fin-Tube","",""
"Sink - Island - Single","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND-DN8","",""
"Sink - Kitchen - Double","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-DN8-UND","",""
"Sink - Mop","Plumbing Fixtures","MHT-PL-PF-Plumbing-Fixture-UND-UND","",""
"Sprinkler - Dry - Horizontal Sidewall - Hosted","Sprinklers","MHT-ME-FAM-Sprinkler-Dry-Horizontal-Sidewall-Hosted","",""
"Sprinkler - Dry - Pendent - Hosted","Sprinklers","MHT-ME-FAM-Sprinkler-Dry-Pendent-Hosted","",""
"Sprinkler - Horizontal Sidewall - Hosted","Sprinklers","MHT-ME-FAM-Sprinkler-Horizontal-Sidewall-Hosted","",""
"Sprinkler - Pendent - Hosted","Sprinklers","MHT-ME-FAM-Sprinkler-Pendent-Hosted","",""
"Telephone Outlet - Data","Telephone Devices","MHT-ME-FAM-Telephone-Outlet-Data","",""
"Telephone Outlet","Telephone Devices","MHT-ME-FAM-Telephone-Outlet","",""
"Baluster - Square","Balusters","MHT-ME-FAM-Baluster-Square","",""
"Diffuser Tag","Air Terminal Tags","MHT-ME-FAM-Diffuser-Tag","","missing_system;missing_size;missing_shape"
"Flex Pipe Size Tag","Flex Pipe Tags","MHT-ME-FAM-Flex-Pipe-Size-Tag","",""
"Flex Duct Tag Round","Flex Duct Tags","MHT-ME-DF-Flex-Duct-Tag-Round","","missing_shape;missing_fitting;missing_size"
"Duct Size Tag","Duct Tags","MHT-ME-DF-Duct-Size-Tag","","missing_shape;missing_fitting;missing_size"
"Supply Diffuser","Air Terminals","MHT-ME-AT-SUPPLY-DN9","","missing_shape"
"Return Diffuser","Air Terminals","MHT-ME-AT-RETURN-DN5","","missing_shape"
"View Reference","View Reference","MHT-ME-FAM-View-Reference","",""
"Fire Damper - Rectangular - Simple","Duct Accessories","MHT-ME-DF-Fire-Damper-Rectangular-Simple","","missing_shape;missing_fitting;missing_size"
"Elevation Mark Body_Circle","Elevation Marks","MHT-ME-FAM-Elevation-Mark-Body-Circle","",""
"Elevation Mark Pointer_Circle","Elevation Marks","MHT-ME-FAM-Elevation-Mark-Pointer-Circle","",""
"Elevation Mark Body_Square","Elevation Marks","MHT-ME-FAM-Elevation-Mark-Body-Square","",""
"Elevation Mark Pointer_Square","Elevation Marks","MHT-ME-FAM-Elevation-Mark-Pointer-Square","",""
"Conduit Size Tag","Conduit Tags","MHT-ME-FAM-Conduit-Size-Tag","",""
"Cable Tray Size Tag","Cable Tray Tags","MHT-ME-FAM-Cable-Tray-Size-Tag","",""
"VAV Unit - Parallel Fan Powered","Mechanical Equipment","MHT-ME-MEQ-VAV-Box-UND","",""
"Air Handling Unit - Split System - Vertical","Mechanical Equipment","MHT-ME-MEQ-Air-Handling-Unit-UND","",""
"Lighting Switches","Lighting Devices","MHT-EL-LD-Lighting-Switches","",""
